;ter;cr_in;Population;gdp_p;unem;life_ex;dea;bir;emp;emp_s;emp_a;emp_i;edu_ex;mil_ex
102;South Africa;75,72;57000451;6132,48;27,07;63,54;9,5;20,91;40,99;71,37;5,28;23,35;20308853275;3638936588
103;South Korea;25,27;51361911;31616,84;3,7;82,63;5,6;7;60,74;70,14;4,78;25,07;75635543498;39170682136
104;South Sudan;78,18;10910759;;12,36;57,37;10,57;35,37;63,5;28,32;57,86;13,82;;72388104,57
105;Spain;31,28;46593236;28170,43;17,22;83,28;9,1;8,4;48;75,59;4,35;20,06;52587967771;16043533257
106;Sri Lanka;34,57;21444000;4077,04;4,18;76,65;6,55;16,11;52,26;45,53;26,07;28,4;1944769788;1866534439
107;Sudan;35,05;40813396;1111,87;17,06;64,88;7,26;32,54;40,2;42,44;40,29;17,28;953266429,4;4382998817
108;Sweden;46,65;10057698;53791,51;6,72;82,41;9,1;11,5;59,98;80;1,83;18,16;39873279842;5526592999
109;Switzerland;22,45;8451840;80449,99;4,8;83,55;7,9;10,3;65,1;76,38;3,11;20,51;31260280947;4628401509
110;Syria;66,34;17068002;;8,36;70,97;5,58;24,12;40,43;61,51;11,33;27,16;;
112;Tanzania;61,39;54663906;1004,84;2,03;64,48;6,62;37,08;81,97;27,05;66,35;6,6;1943576493;611215551,9
113;Thailand;49,78;69209858;6592,91;0,83;76,68;7,56;10,51;66,73;45,69;31,46;22,85;18248587001;6305880241
114;Trinidad And Tobago;70,15;1384072;16238,19;2,71;73,25;8,26;13,3;59,07;69,78;3,17;27,05;646377071,8;202766994,3
115;Tunisia;40,94;11433443;3481,23;15,38;76,31;6,27;18,01;39,37;53,48;13,71;32,81;2273777672;858949581,3
116;Turkey;41,09;81101892;10513,65;10,82;77,16;5,39;16,26;46,85;54,08;19,38;26,54;31965053493;17824007487
117;Uganda;56,87;41162465;747,2;1,79;62,52;6,77;38,95;69,23;20,37;73,05;6,58;602376429,9;346762883,8
118;Ukraine;51,27;44831135;2640,68;9,51;71,78;14,5;9,4;49,31;60,29;15,41;24,3;5604196270;3647565178
119;United Arab Emirates;20,66;9487203;40644,8;2,46;77,65;1,43;10,46;80,28;63,76;1,62;34,62;;
120;United Kingdom;41,19;66058859;40361,42;4,34;81,26;9,2;11,4;59,81;80,6;1,16;18,24;1,45E+11;46433303401
121;United States;48,76;324985539;59957,73;4,36;78,54;8,64;11,8;59,58;78,85;1,43;19,73;8,72E+11;6,06E+11
122;Uruguay;51,64;3436646;17322,15;7,89;77,63;9,46;13,96;59,15;71,52;8,74;19,74;2789665497;1165710349
123;Venezuela;85,28;29390409;;7,3;72,25;6,81;18,23;56,68;73,72;7,76;18,52;;464821762,6
124;Vietnam;52,96;94596642;2365,62;2,05;75,24;6,25;16,98;76,16;34,07;40,15;25,78;9543544758;5073853534
125;Zimbabwe;53,46;14236745;1548,17;5,17;60,81;8,04;31,73;78,82;26,36;66,76;6,88;383520298,9;340522000
